Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01011;Metz-Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;16;16;µg-m3;;;;A;1;49.119442;6.180833
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01020;Thionville-Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;16;16;µg-m3;;;;A;1;49.358337;6.156942
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR01065;Belleville sur Meuse;Urbaine;PM2.5;Trafic;Oui;mesures fixes;moyenne horaire validée;15;14.95;µg-m3;;;;A;1;49.16778;5.387461
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02008;Port de Bouc Leque;Urbaine;PM2.5;Industrielle;Oui;mesures fixes;moyenne horaire validée;10.5;10.525;µg-m3;;;;A;1;43.401952;4.981919
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02013;Fos Les Carabins;Périurbaine;PM2.5;Industrielle;Oui;mesures fixes;moyenne horaire validée;15.2;15.175;µg-m3;;;;A;1;43.458927;4.934572
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02020;Rognac les Brets;Périurbaine;PM2.5;Industrielle;Oui;mesures fixes;moyenne horaire validée;15.6;15.625;µg-m3;;;;A;1;43.510802;5.220046
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR02022;Arles;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;12.4;12.35;µg-m3;;;;A;1;43.675114;4.62921
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02041;SALON;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;13.4;13.35;µg-m3;;;;A;1;43.639002;5.101097
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02043;Marignane;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;16.7;16.675;µg-m3;;;;A;1;43.4165306;5.222281
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03006;MARSEILLE RABATAU;Urbaine;PM2.5;Trafic;Oui;mesures fixes;moyenne horaire validée;20.8;20.825;µg-m3;;;;A;1;43.276451;5.39736
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03014;MARSEILLE ST LOUIS;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;22.2;22.175;µg-m3;;;;A;1;43.348048;5.360119
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03021;AIX ROY RENE;Urbaine;PM2.5;Trafic;Oui;mesures fixes;moyenne horaire validée;10.1;10.075;µg-m3;;;;A;1;43.524075;5.448164
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR03027;PLAN AUPS/STE  BAUME;Rurale près des villes;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;7.1;7.05;µg-m3;;;;A;1;43.335201;5.727365
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03029;AIX CENTRE ECOLE ART;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;15;15;µg-m3;;;;A;1;43.530285;5.440912
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03030;GARDANNE;Périurbaine;PM2.5;Industrielle;Oui;mesures fixes;moyenne horaire validée;9.7;9.7;µg-m3;;;;A;1;43.453584;5.466672
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03043;MARSEILLE 5 AVENUES;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;21.9;21.85;µg-m3;;;;A;1;43.305287;5.394716
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03064;LA VALETTE/LA GARDE;Périurbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;9.9;9.9;µg-m3;;;;A;1;43.135902;6.011513
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03068;TOULON FOCH;Urbaine;PM2.5;Trafic;Oui;mesures fixes;moyenne horaire validée;6.4;6.35;µg-m3;;;;A;1;43.126821;5.921605
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR03070;ESTEREL;Périurbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;6.7;6.7;µg-m3;;;;A;1;43.437874;6.76839
2025-12-31 12:00:00;2025-12-31 13:00:00;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03071;TOULON CLARET;Urbaine;PM2.5;Fond;Oui;mesures fixes;moyenne horaire validée;8.6;8.6;µg-m3;;;;A;1;43.131113;5.924184
